Date,SX5E,ADS.DE,AKZA.AS,ALV.DE,ASML.AS,ATO.PA,BAS.DE,BAYN.DE,BEI.DE,BMW.DE,BN.PA,BNP.PA,CA.PA,CAP.PA,CO.PA,CON.DE,CRBN.AS,CS.PA,DAI.DE,DBK.DE,DSY.PA,DTE.DE,EN.PA,ENGI.PA,EO.PA,EXO.MI,G.MI,GFC.PA,HEI.DE,HEIA.AS,RMS.PA
2000/3/7,5426.36,6.813320637,19.7371788,174.3279266,37.4772377,116.8404312,7.060914993,21.72987175,10.58151054,10.96545219,8.747710228,15.83538151,44.63107681,190.7561798,41.45953369,10.30411053,10.0328064,4.964885235,27.62225533,38.72769165,40.11489105,33.64199448,31.85460472,14.70562077,27.58414268,35.22405243,14.63548088,15.89245605,35.92169189,25.93407059,29.70310593
2000/3/8,5364.52,6.839524746,19.59168816,188.5494232,34.83623123,110.6444702,7.194883823,21.65523911,10.59863472,11.16025448,8.43225956,15.39695835,43.61332321,200.190567,42.61237717,10.06335545,10.16310406,4.964885235,28.10730743,37.85025024,40.33349609,31.85732079,30.6361084,14.62655258,26.70120049,34.04986572,14.32048416,15.72753716,35.31282806,24.14640808,29.34713554
2000/3/9,5352.88,6.760910988,19.7953701,186.7143707,35.15065765,110.96035,7.216948986,22.22554779,10.35929489,11.12562752,8.316776276,14.9234848,43.64326477,219.0594482,42.22085571,10.24856663,10.16310406,5.003675461,27.73918915,32.97768402,41.53585052,31.82396317,29.48726273,14.70562077,26.53010178,35.42948914,14.44650078,15.87746716,35.00839233,24.66457558,29.36936188
2000/3/10,5416.81,6.682295799,19.00005913,188.6411591,39.1121521,122.3406372,7.281567574,21.66591072,10.23108673,11.34207916,8.045770645,14.9234848,43.49359131,226.167572,40.80696487,10.42758369,10.1109848,4.926096916,27.28445053,30.50466728,41.42655182,32.60787964,29.55688667,15.02186584,25.36652946,34.63700104,14.29628181,15.74252605,32.87745285,24.85110474,32.30629349
2000/3/13,5254.41,6.597127438,18.48115349,181.1175385,39.1121521,100.52845,7.352492809,22.01768684,10.94049168,11.49359512,8.285662651,14.62537003,43.55345154,213.2437286,40.78521347,10.34120178,9.824331284,4.848518848,27.28445053,30.50466728,38.43888855,32.60787964,28.79097939,15.02186584,25.04483795,34.63700104,13.86981678,15.71254539,33.18187714,25.23454857,33.04052734
2000/3/14,5258.32,6.682295799,18.73336601,182.1267853,37.82935333,101.4137039,7.541625023,22.17755699,10.42765903,11.8225975,8.792157173,14.64291096,45.76855469,197.088913,40.45892715,10.6807251,9.720097542,4.848518848,28.43646049,29.77417946,36.43496323,29.38879395,28.89542007,15.25114822,25.12005806,32.2887001,14.08305073,15.74252605,33.97336578,25.07910538,30.63758469
2000/3/15,5083.15,6.570925236,19.78566551,179.8330231,35.64109802,96.73473358,7.517983913,22.39609909,10.34222126,13.44166183,8.912083626,14.74812889,45.34947586,188.3006439,40.6329422,11.2487421,9.667977333,4.809731007,28.02069855,29.46809006,35.524086,27.31723595,28.2861824,14.70562077,25.14746284,29.05987358,14.13150692,15.84748745,34.03427124,26.40041351,32.9070282
2000/3/16,5175.23,7.468447685,20.89133835,181.2092896,33.30192566,97.36729431,7.705538273,24.0376873,10.73536015,13.7446928,9.662910461,15.02870369,47.53464127,184.1650391,41.3290062,11.57594013,10.1109848,5.081252575,30.25109291,29.85172272,32.42712021,28.08781242,27.69434357,15.16417599,26.21524239,30.23397255,14.50466728,15.74252605,34.70397186,27.4626503,32.79576492
2000/3/17,5231.35,7.207707405,21.03682709,185.7968597,35.42733383,97.99904633,7.880485058,24.46409035,10.91485596,12.98278141,9.507427216,14.90594292,46.78628922,178.3493042,41.98156738,11.73031521,10.42369938,5.236410141,29.90028572,30.40263748,35.3419075,28.85506248,27.67694473,15.21952248,27.17348289,30.82103539,14.13635826,15.75751877,35.31282806,27.54037094,33.04052734
2000/3/20,5286.71,7.121229649,20.9737587,186.7831879,35.71655655,96.79792023,7.785918713,24.31481934,10.9063406,13.29014587,9.591836929,14.83580971,45.94815063,183.6480865,40.6329422,11.17461777,10.0328064,5.197621346,29.2983036,29.48443031,37.89236069,30.4562664,27.29398346,14.85583878,26.35210228,31.46681404,14.03459454,15.72753716,36.89582062,27.72172356,31.97254753
