Date,ADS.DE,AKZA.AS,ALV.DE,ASML.AS,ATO.PA,BAS.DE,BAYN.DE,BEI.DE,BMW.DE,BN.PA,BNP.PA,CA.PA,CAP.PA,CO.PA,CON.DE,CRBN.AS,CS.PA,DAI.DE,DBK.DE,DSY.PA,DTE.DE,EN.PA,ENGI.PA,EO.PA,EXO.MI,G.MI,GFC.PA,HEI.DE,HEIA.AS,RMS.PA
2000/3/23,1867024,1253287,376016,6165803,193912,4485032,1465826,56781,3211178,4594712,4966379,1301284,377465,195597,177161,261900,34746141,3160823,3291093,366148,4799491,12132600,3366500,15538,40598,5426520,8529,9308,1391701,143283
2000/3/24,1949728,1425956,374969,12528879,103411,4569272,1704448,179661,1974191,4519071,5294494,1766030,323967,448446,112191,89400,29084248,4238362,2987735,352468,4688106,21578500,8908000,14420,137323,6442810,24229,31614,3396021,32559
2000/3/27,3028864,1356267,243601,5290465,216240,3680956,1761626,226092,990243,4133369,3465864,1401542,191364,139469,222645,276000,9699466,2904442,1782828,171450,2542923,11008500,1589500,9962,75393,2468620,7650,6086,926678,47226
2000/3/28,2679120,1802222,384521,4408340,275364,4383012,2784485,210300,1596984,3964808,6581872,1753098,241406,231218,348419,235100,16496651,4178980,2834872,325268,5987905,6680000,1808500,16006,52523,2370830,27085,29186,955658,30414
2000/3/29,3660512,1375556,365877,5908204,179949,4214434,3556250,112947,2529616,2292049,4443468,2168582,260051,421398,85551,288500,9950188,2049851,2567487,205308,4502228,7859400,1733000,20805,118985,3300220,5954,32307,3644977,33627
2000/3/30,4890448,1323733,486212,20742837,190192,2380518,2497881,90786,2297532,4263101,9261298,2712356,599620,265169,209834,201700,24091803,2300399,3288154,336074,6232698,10801300,3581500,21611,114348,3734390,58280,27010,3080547,49386
2000/3/31,2605504,2120711,543053,18276492,206844,2586822,1782330,61302,1885953,8183975,6062008,9469934,440712,240683,107297,181000,25103109,1599700,2526744,497306,5896805,6796500,3212000,9670,107060,3331130,30015,12159,1529228,33882
2000/4/3,2012800,1539911,478437,9444966,120873,3454496,1317964,227682,1113106,4313596,9633821,4865784,412369,90991,145929,214165,20179266,2084580,4773056,483838,7688516,14249900,1971500,32350,218811,3695010,43592,40968,1972122,43818
2000/4/4,415360,4804984,815278,14498967,258810,2935622,1838381,88650,1285400,7461033,17506445,3590134,456045,335167,372866,178400,56933651,2670477,4738393,786222,5903678,23448700,2502000,72233,146333,13940080,7396,49262,2352693,107124
2000/4/5,2532016,2592978,2086638,18763769,249188,5299600,2951470,129510,1500047,10534608,9487673,4382226,983025,210025,319089,101400,33172222,3072031,13200085,545814,7645191,15965800,3680500,68221,195703,6518710,2813,56891,2265348,63972
